Muestra;Peso
X259REP1;14.5
X260REP1;10.1
X261REP1;9.2
X262REP1;12.6
X263REP1;11
X264REP1;15.9
X265REP1;13.6
X266REP1;19.2
X267REP1;3.5
X268REP1;11.1
X269REP1;19
X270REP1;10.2
X271REP1;22.6
X272REP1;7.4
X273REP1;5.5
X274REP1;15.7
X275REP1;12.2
X276REP1;7.8
X277REP1;12.4
X278REP1;10.9
X279REP1;5.9
X280REP1;3.3
X281REP1;12.4
X282REP1;10.5
X283REP1;17.5
X284REP1;19.6
X285REP1;19.2
X286REP1;14.1
X287REP1;28.3
X288REP1;19.1
X289REP1;16
X290REP1;27.2
X291REP1;21.3
X292REP1;24.4
X293REP1;30
X294REP1;14
X295REP1;13
X296REP1;14
X297REP1;9.1
X298REP1;14.6
X299REP1;19.4
X300REP1;15.1
X301REP1;18.1
X302REP1;14.5
X303REP1;9.9
X304REP1;15.7
X305REP1;11.2
X306REP1;10.1
X307REP1;24.8
X308REP1;21.5
X309REP1;30.4
X310REP1;36.4
X311REP1;30.7
X312REP1;22.4
X313REP1;15.7
X314REP1;29.2
X315REP1;18.6
X316REP1;33.2
X317REP1;28.8
X318REP1;26
X319REP1;38.4
X320REP1;25.3
X321REP1;30.3
X322REP1;18.9
X323REP1;24.2
X324REP1;17.7
X325REP1;7.2
X326REP1;13
X327REP1;6.3
X328REP1;23.2
X329REP1;24.3
X330REP1;13.1
X259REP2;28.3
X260REP2;22.9
X261REP2;14.4
X262REP2;21.1
X263REP2;19.4
X264REP2;14.8
X265REP2;17.7
X266REP2;15.7
X267REP2;9.7
X268REP2;21.3
X269REP2;15.9
X270REP2;16
X271REP2;40.3
X272REP2;21.1
X273REP2;15.5
X274REP2;20.3
X275REP2;19.1
X276REP2;14.3
X277REP2;18.3
X278REP2;10.7
X279REP2;17.7
X280REP2;19.1
X281REP2;18
X282REP2;16.1
X283REP2;48.5
X284REP2;49.3
X285REP2;36.3
X286REP2;29.9
X287REP2;54.4
X288REP2;36.9
X289REP2;58.7
X290REP2;41.3
X291REP2;24.5
X292REP2;39.2
X293REP2;8.4
X294REP2;30.5
X295REP2;35.2
X296REP2;26.3
X297REP2;17.7
X298REP2;23.3
X299REP2;46.8
X300REP2;30.4
X301REP2;21.7
X302REP2;32.4
X303REP2;30.7
X304REP2;31.1
X305REP2;25.6
X306REP2;13.3
X307REP2;67.9
X308REP2;53.7
X309REP2;47.8
X310REP2;49.9
X311REP2;38.2
X312REP2;56.2
X313REP2;52.7
X314REP2;58.8
X315REP2;26.3
X316REP2;61.8
X317REP2;58.5
X318REP2;34.3
X319REP2;59.9
X320REP2;41.3
X321REP2;23.6
X322REP2;30.2
X323REP2;44.1
X324REP2;32.5
X325REP2;27.6
X326REP2;29.7
X327REP2;27.1
X328REP2;41
X329REP2;35.6
X330REP2;27
X259REP3;18.7
X260REP3;20
X261REP3;13.8
X262REP3;17.7
X263REP3;18.7
X264REP3;22.7
X265REP3;17.4
X266REP3;12.3
X267REP3;11.4
X268REP3;25.1
X269REP3;29.3
X270REP3;18.6
X271REP3;32.9
X272REP3;16.7
X273REP3;10.3
X274REP3;9.5
X275REP3;20.2
X276REP3;20.8
X277REP3;27.7
X278REP3;26.1
X279REP3;17.3
X280REP3;25.8
X281REP3;20.6
X282REP3;18.1
X283REP3;48.4
X284REP3;20.7
X285REP3;32.1
X286REP3;37.7
X287REP3;57.6
X288REP3;32
X289REP3;57.1
X290REP3;24.8
X291REP3;23.1
X292REP3;37.3
X293REP3;69
X294REP3;20.4
X295REP3;17.7
X296REP3;21.6
X297REP3;26
X298REP3;33.4
X299REP3;24
X300REP3;22.8
X301REP3;14.5
X302REP3;33
X303REP3;25
X304REP3;31.3
X305REP3;16.2
X306REP3;18.7
X307REP3;52.5
X308REP3;53.6
X309REP3;31.8
X310REP3;61.6
X311REP3;42.8
X312REP3;70.4
X313REP3;54.5
X314REP3;25.2
X315REP3;47.1
X316REP3;60.1
X317REP3;16.6
X318REP3;44.6
X319REP3;39.3
X320REP3;33.9
X321REP3;36.1
X322REP3;37.1
X323REP3;41.4
X324REP3;24.9
X325REP3;19.2
X326REP3;34.9
X327REP3;28.7
X328REP3;35.1
X329REP3;33.5
X330REP3;30.8
